id	nombre	salario
870	FRANCISCO JAVIER	1132
871	FRANCISCO	1863
872	OMAR	2041
873	OSCAR	1313
874	YAGO	764
875	SANTIAGO	1966
876	ALEJANDRO	2753
877	IGNACIO	2896
878	MARTI	721
879	JOSE MANUEL	1609
880	DARIO	2728
881	MATEO	2444
882	IKER	1380
883	MIGUEL	1138
884	ORIOL	2774
885	BIEL	1492
886	ISAAC	835
887	ASIER	669
888	CRISTIAN	2206
889	NIL	1017
890	MARTIN	919
891	NICOLAS	2269
892	BIEL	2784
893	HECTOR	1746
894	MARCOS	1631
895	CARLOS	1658
896	JOAN	2534
897	LUCAS	1816
898	JOSE MANUEL	662
899	JAIME	1650
900	MOHAMED	1883
901	DANIEL	674
902	ANGEL	1850
903	JORGE	2907
904	JOSE	2082
905	GUILLERMO	628
906	HUGO	1673
907	LEO	2901
908	MATEO	827
909	JORDI	2126
910	ERIK	1377
911	MIGUEL ANGEL	1938
912	RAYAN	2580
913	HECTOR	2040
914	PABLO	2924
915	ALONSO	1485
916	SAMUEL	1599
917	HECTOR	1510
918	MANUEL	785
919	JOSE	778
920	HUGO	2259
921	NIL	1861
922	PEDRO	1267
923	SERGIO	2489
924	MARTI	1808
925	RAYAN	771
926	ERIK	2329
927	UNAI	2521
928	AITOR	2004
929	MIGUEL ANGEL	962
930	GUILLEM	2652
931	FERNANDO	2129
932	MARCO	1649
933	ISMAEL	2724
934	JOSE MANUEL	1036
935	JAN	1719
936	AARON	1355
937	VICTOR	2118
938	OMAR	2098
939	GUILLEM	2232
940	HECTOR	2935
941	IKER	961
942	MARIO	1007
943	FRANCISCO JAVIER	1892
944	MARCO	1584
945	GABRIEL	2351
946	SAMUEL	1207
947	IVAN	2957
948	ALEX	1117
949	ISAAC	2828
950	MOHAMED	970
951	YERAY	2660
952	JOSE ANTONIO	2490
953	MARTI	1877
954	JOAN	744
955	ALBERTO	1778
956	MIGUEL ANGEL	622
957	JOSE	2726
958	RODRIGO	664
959	NIL	2674
960	LEO	1873
961	MIKEL	1214
962	CARLOS	2045
963	IGNACIO	656
964	POL	1980
965	POL	2477
966	CESAR	2758
967	SAMUEL	2044
968	RAYAN	1322
969	RAUL	2951
970	ADRIAN	810
971	POL	2302
972	ALVARO	1532
973	ALBERTO	1979
974	JOSE	674
975	JOSE	2183
976	RAYAN	1885
977	JAN	2588
978	SERGIO	785
979	HECTOR	1757
980	SANTIAGO	1576
981	JAN	1007
982	SAMUEL	924
983	JUAN	1029
984	SAMUEL	2520
985	FERNANDO	1381
986	YERAY	680
987	ENRIQUE	2428
988	ISAAC	1225
989	SANTIAGO	2511
990	MOHAMED	2839
991	RAFAEL	1054
992	RODRIGO	1808
993	GUILLEM	1277
994	PABLO	1424
995	FRANCISCO	1376
996	ARNAU	2918
997	YERAY	964
998	AITOR	1786
999	ASIER	2947
1000	PABLO	1984
1001	ADAM	2219
1002	MIGUEL	1151
1003	LUIS	1132
1004	BRUNO	2082
1005	EDUARDO	1624
1006	JAIME	2183
1007	AITOR	1365
1008	PABLO	2198
1009	GABRIEL	1929
1010	GABRIEL	2502
1011	OLIVER	1527
1012	ERIK	1052
1013	GUILLEM	2135
1014	IZAN	2130
1015	JOAN	1628
1016	ALVARO	1122
1017	CARLOS	1534
1018	AARON	2831
1019	MARCOS	2662
1020	JON	2425
1021	BIEL	2478
1022	ERIC	2489
1023	HECTOR	2280
1024	DANIEL	2073
1025	ENRIQUE	1490
1026	GABRIEL	800
1027	ADRIA	1563
1028	GAEL	1475
1029	AITOR	714
1030	JAN	1549
1031	GUILLERMO	606
1032	GABRIEL	1757
1033	PEDRO	1694
1034	MARCO	1135
1035	ALEJANDRO	1644
1036	IZAN	2383
1037	ALEX	1014
1038	HUGO	1125
1039	RODRIGO	1277
1040	POL	2817
1041	MIGUEL ANGEL	1609
1042	JAIME	2055
1043	ALEJANDRO	2818
1044	ADRIAN	1192
1045	DANIEL	1364
1046	LUIS	825
1047	JOEL	1594
1048	MARCO	898
1049	SERGIO	1270
1050	ERIK	2439
1051	MANUEL	1647
1052	RODRIGO	858
1053	BIEL	732
1054	HECTOR	2136
1055	MIGUEL ANGEL	2922
1056	GABRIEL	2009
1057	ASIER	701
1058	CRISTIAN	708
1059	AITOR	2056
1060	UNAI	856
1061	JAN	1293
1062	JAVIER	2751
1063	JOEL	1055
1064	MOHAMED	2918
1065	JOAN	2912
1066	DARIO	2473
1067	EDUARDO	2527
1068	ISAAC	2999
1069	SANTIAGO	1430
1070	CESAR	1455
1071	SERGIO	2810
1072	GUILLERMO	2161
1073	ADRIAN	2276
1074	IGNACIO	1904
1075	ERIC	2719
1076	IGNACIO	715
1077	FRANCISCO	1274
1078	JOAN	2860
1079	ALEX	1754
1080	AARON	1438
1081	GONZALO	2372
1082	LUCAS	1073
1083	HECTOR	2037
1084	MARC	2286
1085	ERIK	1346
1086	ADAM	1249
1087	JOSE MANUEL	2182
1088	GERARD	2809
1089	SANTIAGO	1485
1090	ADRIA	602
1091	ALONSO	924
1092	IAN	776
1093	MARTI	2982
1094	PABLO	1612
1095	ALEX	1532
1096	MATEO	1111
1097	SAUL	1402
1098	ALVARO	2678
1099	UNAI	2062
1100	RAFAEL	2590
1101	MATEO	1753
1102	CESAR	1210
1103	HECTOR	2960
1104	AARON	1027
1105	SERGIO	2880
1106	ADAM	602
1107	PABLO	2378
1108	BIEL	807
1109	ORIOL	873
1110	MARCO	2732
1111	NICOLAS	2112
1112	MARTIN	1729
1113	FRANCISCO JAVIER	1067
1114	JON	767
1115	NIL	2282
1116	JON	1756
1117	ERIK	981
1118	GONZALO	2595
1119	EDUARDO	1997
1120	ANDER	1301
1121	PAU	1276
1122	IVAN	2686
1123	IAN	2816
1124	MIGUEL	2919
1125	MANUEL	1430
1126	BRUNO	1562
1127	AITOR	2627
1128	MIGUEL	1105
1129	MATEO	770
1130	JOSE MANUEL	2099
1131	DARIO	2642
1132	CARLOS	1735
1133	EDUARDO	682
1134	CESAR	2050
1135	JOEL	1486
1136	RAUL	2476
1137	PEDRO	1615
1138	IGNACIO	2149
1139	CARLOS	2127
1140	IAN	1170
1141	ASIER	1728
1142	AARON	1299
1143	ALONSO	2704
1144	ARNAU	796
1145	ARNAU	1457
1146	GABRIEL	728
1147	DIEGO	2750
1148	ENRIQUE	2404
1149	MARCO	2197
1150	ADAM	1937
1151	ADAM	1709
1152	ERIC	1001
1153	IVAN	604
1154	MIGUEL ANGEL	1093
1155	GAEL	965
1156	MATEO	1863
1157	IGNACIO	2669
1158	GUILLEM	2273
1159	ISMAEL	1141
1160	DARIO	2169
1161	GONZALO	855
1162	SAUL	859
1163	BRUNO	2465
1164	ALEX	2045
1165	SERGIO	1298
1166	ALVARO	1291
1167	MARC	1915
1168	JAVIER	1406
1169	MARTI	2472
1170	SAMUEL	2216
1171	ALBERTO	1304
1172	POL	905
1173	ERIK	2070
1174	SERGIO	1649
1175	SAMUEL	2252
1176	LUCAS	675
1177	SERGIO	1757
1178	RAUL	2409
1179	RAYAN	1921
1180	SERGIO	836
1181	OMAR	1964
1182	CARLOS	935
1183	MARCO	2379
1184	IAN	1943
1185	ARNAU	2789
1186	NICOLAS	1400
1187	SAUL	1176
1188	ALONSO	620
1189	MIGUEL	884
1190	JUAN	2518
1191	JOSE ANTONIO	1502
1192	JOSE MANUEL	1609
1193	CARLOS	2102
1194	ALBERTO	2232
1195	ALONSO	1873
1196	GAEL	1644
1197	ERIC	857
1198	ALEX	1039
1199	GUILLERMO	871
1200	MIKEL	2905
1201	JOAN	1713
1202	LUIS	1846
1203	JESUS	1814
1204	MARTIN	1587
1205	DARIO	702
1206	DARIO	1230
1207	JORGE	1713
1208	ANDER	1618
1209	AARON	1391
1210	RODRIGO	2057
1211	ADRIA	2639
1212	SAMUEL	2149
1213	PABLO	2535
1214	CARLOS	2810
1215	JORDI	872
1216	JON	795
1217	JOSE ANTONIO	1178
1218	GONZALO	1362
1219	SERGIO	2816
1220	JUAN	1257
1221	ARNAU	972
1222	DARIO	925
1223	IAN	1824
1224	DANIEL	2428
1225	CRISTIAN	1413
1226	HECTOR	906
1227	MARIO	994
1228	LUIS	1702
1229	DANIEL	622
1230	GUILLEM	1538
1231	ASIER	1246
1232	CESAR	976
1233	JOSE ANTONIO	2702
1234	PAU	2098
1235	AITOR	1952
1236	JAVIER	1335
1237	ALONSO	1681
1238	SERGIO	2971
1239	PEDRO	2358
1240	FERNANDO	2657
1241	DIEGO	1961
1242	CARLOS	1208
1243	ANDER	822
1244	SAUL	2340
1245	ARNAU	2108
1246	NIL	2003
1247	DANIEL	827
1248	LEO	2715
1249	NICOLAS	976
1250	DANIEL	1202
1251	HECTOR	2695
1252	IGNACIO	1964
1253	ISMAEL	2416
1254	ASIER	1974
1255	IVAN	1362
1256	ADRIA	1484
1257	LUCAS	1015
1258	JAVIER	1179
1259	ADAM	1341
1260	LEO	710
1261	ROBERTO	1381
1262	GUILLEM	1890
1263	EDUARDO	1977
1264	ALEJANDRO	1489
1265	ALEIX	605
1266	GERARD	1806
1267	MARIO	1339
